packageName,packageDetails,packagePrice,discountAvailable
"Wine & Food Morocco Tour","12-day immersive journey staying in luxury hotels, featuring wildlife encounters and cultural performances. Includes cultural immersion, sunset experiences, and personalized itinerary planning. All accommodations and guided experiences included.",5278,false
"Adventure Peru Explorer","12-day immersive journey staying in private villas, featuring wellness treatments and photography workshops. Includes behind-the-scenes tours, local interactions, and personalized itinerary planning. All accommodations and guided experiences included.",5378,false
"Wellness Greek Islands Journey","12-day immersive journey staying in historic properties, featuring art workshops and meditation sessions. Includes traditional ceremonies, expert guides, and personalized itinerary planning. All accommodations and guided experiences included.",7771,true
"Culinary Thailand Journey","14-day immersive journey staying in historic properties, featuring wellness treatments and wildlife encounters. Includes artisan demonstrations, expert guides, and personalized itinerary planning. All accommodations and guided experiences included.",5847,true
"Adventure Kyoto Quest","7-day immersive journey staying in heritage hotels, featuring outdoor adventures and wellness treatments. Includes sunset experiences, artisan demonstrations, and personalized itinerary planning. All accommodations and guided experiences included.",3558,true
"Historical Turkish Coast Journey","6-day immersive journey staying in historic properties, featuring cultural performances and art workshops. Includes traditional ceremonies, gourmet dining, and personalized itinerary planning. All accommodations and guided experiences included.",4621,true
"Photography Norwegian Fjords Expedition","7-day immersive journey staying in spa resorts, featuring guided tours and wellness treatments. Includes expert guides, artisan demonstrations, and personalized itinerary planning. All accommodations and guided experiences included.",7223,false
"Wellness Scottish Highlands Quest","6-day immersive journey staying in desert camps, featuring wine tastings and art workshops. Includes private transfers, local interactions, and personalized itinerary planning. All accommodations and guided experiences included.",4300,false
"Luxury Greek Islands Experience","5-day immersive journey staying in eco-lodges, featuring wellness treatments and local craft workshops. Includes cultural immersion, local interactions, and personalized itinerary planning. All accommodations and guided experiences included.",3183,false
"Art & Design Turkish Coast Experience","12-day immersive journey staying in heritage hotels, featuring photography workshops and cultural performances. Includes expert guides, artisan demonstrations, and personalized itinerary planning. All accommodations and guided experiences included.",4156,true
"Spiritual Thailand Discovery","12-day immersive journey staying in mountain lodges, featuring guided tours and guided tours. Includes local interactions, private transfers, and personalized itinerary planning. All accommodations and guided experiences included.",5968,false
"Adventure Scottish Highlands Escape","10-day immersive journey staying in heritage hotels, featuring guided tours and guided tours. Includes expert guides, expert guides, and personalized itinerary planning. All accommodations and guided experiences included.",5900,false
"Adventure Kyoto Journey","11-day immersive journey staying in eco-lodges, featuring outdoor adventures and cultural performances. Includes traditional ceremonies, exclusive access, and personalized itinerary planning. All accommodations and guided experiences included.",7321,false
"Historical Bali Journey","12-day immersive journey staying in luxury hotels, featuring photography workshops and guided tours. Includes private transfers, local interactions, and personalized itinerary planning. All accommodations and guided experiences included.",8172,false
"Wildlife Greek Islands Tour","14-day immersive journey staying in desert camps, featuring cooking classes and art workshops. Includes behind-the-scenes tours, traditional ceremonies, and personalized itinerary planning. All accommodations and guided experiences included.",6524,true
"Eco Iceland Quest","14-day immersive journey staying in luxury hotels, featuring outdoor adventures and meditation sessions. Includes exclusive access, sunset experiences, and personalized itinerary planning. All accommodations and guided experiences included.",7385,false
"Cultural Vietnam Discovery","15-day immersive journey staying in luxury hotels, featuring photography workshops and outdoor adventures. Includes exclusive access, local interactions, and personalized itinerary planning. All accommodations and guided experiences included.",3818,true
"Cultural Turkish Coast Discovery","5-day immersive journey staying in luxury hotels, featuring cooking classes and wine tastings. Includes traditional ceremonies, cultural immersion, and personalized itinerary planning. All accommodations and guided experiences included.",7175,true
"Luxury Vietnam Safari","8-day immersive journey staying in desert camps, featuring cultural performances and meditation sessions. Includes sunset experiences, gourmet dining, and personalized itinerary planning. All accommodations and guided experiences included.",3115,false
"Cultural Greek Islands Tour","8-day immersive journey staying in historic properties, featuring wildlife encounters and scenic drives. Includes behind-the-scenes tours, artisan demonstrations, and personalized itinerary planning. All accommodations and guided experiences included.",3579,false
