Question Number,Question,Manual State
1,Which courses are currently open for enrollment?,"To find courses open for enrollment, follow these steps: 1) Access the database interface and go to the course section. 2) Enter the query ""Which courses are currently open for enrollment?"" to filter by enrollment status. 3) The results will list courses with details like title, description, duration, and enrollment status. 4) Ensure the 'currentlyEnrolling' field is 'True' to confirm availability. 5) Review course descriptions for content and focus areas. 6) Check course duration to plan your schedule. This process helps you select courses efficiently and ensures you receive accurate results."
2,Show me all courses where the total duration is less than 10 hours.,"To find courses open for enrollment, access the database interface and navigate to the course section. Enter the query ""Which courses are currently open for enrollment?"" to filter by enrollment status. The results will list courses with details like title, description, duration, and enrollment status. Ensure the 'currentlyEnrolling' field is 'True' to confirm availability. Review course descriptions for content and focus areas, and check course duration to plan your schedule. For specific queries, such as finding courses with a total duration of less than 10 hours, adjust the query to include duration filters. This process helps you select courses efficiently and ensures you receive accurate results."
3,Which courses mention advanced Python programming in their description?,"To find courses open for enrollment, access the database interface and navigate to the course section. Enter the query ""Which courses are currently open for enrollment?"" to filter by enrollment status. Ensure the 'currentlyEnrolling' field is 'True' to confirm availability. The results will list courses with details like title, description, duration, and enrollment status. Review course descriptions for content and focus areas, and check course duration to plan your schedule. For specific queries, such as finding courses with a total duration of less than 10 hours, adjust the query to include duration filters. To find courses mentioning specific topics, modify the query to search within course descriptions. This process helps you select courses efficiently and ensures you receive accurate results."
4,What are the key learning outcomes for the course titled 'Data Structures 101'?,"To find courses open for enrollment, access the database interface and navigate to the course section. Enter the query ""Which courses are currently open for enrollment?"" and ensure the 'currentlyEnrolling' field is 'True'. The results will list courses with details like title, description, duration, and enrollment status. Review course descriptions and check course duration to plan your schedule. For courses under 10 hours, adjust the query to include duration filters. To find courses on specific topics, modify the query to search within course descriptions. For key learning outcomes, ensure the course title is correctly entered. If no results appear, verify the course title and check the database for course descriptions. This process helps you select courses efficiently and ensures accurate results."
5,List all courses that have a duration of 40 hours or more.,"To find courses open for enrollment, access the database interface and navigate to the course section. Enter the query ""Which courses are currently open for enrollment?"" and ensure the 'currentlyEnrolling' field is 'True'. The results will list courses with details like title, description, duration, and enrollment status. Review course descriptions and check course duration to plan your schedule. For courses under 10 hours, adjust the query to include duration filters. To find courses on specific topics, modify the query to search within course descriptions. Ensure the course title is correctly entered for key learning outcomes. If no results appear, verify the course title and check the database for course descriptions. When searching for courses with specific durations, such as 40 hours or more, include a duration filter in your query. This process helps you select courses efficiently and ensures accurate results."
6,Which instructors have over 10 years of teaching experience?,"To find courses open for enrollment, access the database and navigate to the course section. Enter the query ""Which courses are currently open for enrollment?"" and ensure the 'currentlyEnrolling' field is 'True'. The results will list courses with details like title, description, duration, and enrollment status. For courses under 10 hours, adjust the query to include duration filters. To find courses on specific topics, modify the query to search within course descriptions. Ensure the course title is correctly entered for key learning outcomes. If no results appear, verify the course title and check the database for course descriptions. To find courses with specific durations, such as 40 hours or more, include a duration filter in your query. To find instructors with over 10 years of teaching experience, query the database with ""Which instructors have over 10 years of teaching experience?"" and review the 'yearsOfTeaching' field in the results."
7,Show me the biography of the instructor named 'Dr. Jane Doe'.,"To find courses open for enrollment, access the database and navigate to the course section. Use the query ""Which courses are currently open for enrollment?"" and ensure the 'currentlyEnrolling' field is 'True'. For courses under 10 hours, add a duration filter. To search for courses on specific topics, modify the query to include keywords in course descriptions. Verify course titles for key learning outcomes if no results appear. To find courses with durations of 40 hours or more, include a duration filter in your query. For instructors with over 10 years of experience, query ""Which instructors have over 10 years of teaching experience?"" and check the 'yearsOfTeaching' field. To view an instructor's biography, use ""Show me the biography of the instructor named [Instructor's Name]"" and ensure correct spelling."
8,Which instructors are tenured?,"To find courses open for enrollment, navigate to the course section in the database and use the query ""Which courses are currently open for enrollment?"" Ensure the 'currentlyEnrolling' field is 'True'. For courses under 10 hours, apply a duration filter. To search for specific topics, include keywords in course descriptions. If no results appear, verify course titles for key learning outcomes. To find courses with durations of 40 hours or more, add a duration filter. For instructors with over 10 years of experience, query ""Which instructors have over 10 years of teaching experience?"" and check the 'yearsOfTeaching' field. To view an instructor's biography, use ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. To identify tenured instructors, query ""Which instructors are tenured?"" and ensure the 'tenured' field is 'True'."
9,Who has the longest teaching career among all instructors in the database?,"To find courses open for enrollment, query ""Which courses are currently open for enrollment?"" and ensure the 'currentlyEnrolling' field is 'True'. For courses under 10 hours, apply a duration filter. To search by topic, include keywords in course descriptions. If no results appear, verify course titles for key learning outcomes. For courses 40 hours or more, add a duration filter. To find instructors with over 10 years of experience, query ""Which instructors have over 10 years of teaching experience?"" and check the 'yearsOfTeaching' field. To view an instructor's biography, use ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. To identify tenured instructors, query ""Which instructors are tenured?"" and ensure the 'tenured' field is 'True'. To find the instructor with the longest teaching career, use ""Who has the longest teaching career among all instructors?"" and check the 'yearsOfTeaching' field for the maximum value."
10,Find instructors who mention a 'hands-on learning' philosophy in their biography.,"To find courses open for enrollment, query ""Which courses are currently open for enrollment?"" and ensure the 'currentlyEnrolling' field is 'True'. For courses under 10 hours or 40 hours and more, apply a duration filter. To search by topic, include keywords in course descriptions. If no results appear, verify course titles for key learning outcomes. To find instructors with over 10 years of experience, query ""Which instructors have over 10 years of teaching experience?"" and check the 'yearsOfTeaching' field. To view an instructor's biography, use ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. To identify tenured instructors, query ""Which instructors are tenured?"" and ensure the 'tenured' field is 'True'. To find the instructor with the longest teaching career, use ""Who has the longest teaching career among all instructors?"" and check the 'yearsOfTeaching' field for the maximum value. To find instructors who emphasize a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search for the phrase in the 'biography' field."
