museumName,exhibitHighlights,entryFee,openToday
"The Metropolitan Museum of Art","Home to over 2 million works spanning 5,000 years of human creativity. Features an exceptional collection of European paintings, including works by Van Gogh and Rembrandt, extensive Egyptian antiquities, and the iconic Temple of Dendur. American Wing showcases native art from colonial to modern periods.",25,true
"Musée d'Orsay","Housed in a former railway station, featuring the world's largest collection of Impressionist and Post-Impressionist masterpieces. Highlights include works by Monet, Van Gogh, and Renoir. Notable for its comprehensive collection of 19th-century European art and sculpture gallery.",16,true
"British Museum","Vast collection of world artifacts including the Rosetta Stone, Parthenon sculptures, and Egyptian mummies. Features comprehensive exhibits on human history and culture, from prehistoric to modern times. Houses one of the world's finest collections of prints and drawings.",0,false
"The Louvre Museum","Houses the Mona Lisa and Venus de Milo, showcasing Western art from the Middle Ages to 1848, extensive Egyptian antiquities, and a vast collection of paintings, including works by Michelangelo and Delacroix.",17,true
"State Hermitage Museum","One of the largest and oldest museums globally, with over 3 million items. Renowned for its collection of Impressionist and Post-Impressionist paintings, including works by Matisse and Picasso. Houses masterpieces from the Italian Renaissance and Dutch Golden Age.",20,false
"National Gallery of Art","Extensive collection of European and American paintings, sculptures, and decorative arts. Highlights include works by Leonardo da Vinci, Jan van Eyck, and Claude Monet. Features a sculpture garden with works by Rodin, Moore, and Calder.",0,true
"Vatican Museums","Complex of museums showcasing papal collections amassed over centuries. Features the Sistine Chapel with Michelangelo's ceiling frescoes, Raphael Rooms, and a vast collection of sculptures and paintings.",17,true
"Reina Sofía Museum","Home to Picasso's Guernica, showcasing 20th-century Spanish art. Features works by Dalí, Miró, and Gris. Houses a significant collection of Surrealist and Cubist masterpieces.",10,true
"Rijksmuseum","National museum dedicated to Dutch arts and history. Houses Rembrandt's Night Watch and Vermeer's Milkmaid. Features a comprehensive collection of Dutch Golden Age paintings and artifacts.",20,false
"Museo del Prado","World-renowned for its collection of Spanish masters, including Goya, Velázquez, and El Greco. Houses European paintings from the 12th to 19th centuries. Features masterpieces of the Italian Renaissance and Flemish schools.",15,true
"Uffizi Gallery","Showcases the art collection of the Medici family, featuring masterpieces of the Italian Renaissance. Houses Botticelli's Birth of Venus and Leonardo da Vinci's Annunciation. Renowned for its collection of Florentine paintings.",20,true
"National Museum of Modern and Contemporary Art, Korea","Showcases Korean modern and contemporary art, with a focus on works from the 20th and 21st centuries. Features a diverse range of media, including painting, sculpture, and new media.",4,true
"Tokyo National Museum","Comprehensive collection of Japanese art and archaeology, including ancient pottery, Buddhist sculptures, and samurai swords. Features exhibits on Japanese history and culture from prehistoric times to the present.",6,false
"National Palace Museum","Houses one of the world's largest collections of Chinese imperial artifacts, including paintings, calligraphy, ceramics, and bronzes. Features treasures from the Forbidden City and a renowned collection of jade carvings.",9,true
"National Museum of Anthropology","Extensive collection of pre-Columbian artifacts from Mexico, including Mayan and Aztec treasures. Features the Stone of the Sun and jade masks. Showcases the cultural heritage of Mexico's indigenous peoples.",8,true
"Egyptian Museum","Houses the world's largest collection of ancient Egyptian artifacts, including Tutankhamun's treasures and royal mummies. Features exhibits on ancient Egyptian history, art, and culture.",16,false
"Acropolis Museum","Showcases artifacts from the Athenian Acropolis, including sculptures from the Parthenon and Erechtheion. Features exhibits on the history and archaeology of the Acropolis.",5,true
"Getty Center","Complex of museums housing European paintings, sculptures, and decorative arts. Features a collection of Impressionist and Post-Impressionist paintings, including works by Van Gogh and Renoir. Renowned for its architecture and gardens.",0,true
"Museum of Modern Art (MoMA)","World-renowned for its collection of modern and contemporary art, including works by Picasso, Warhol, and Van Gogh. Features exhibits on painting, sculpture, photography, and film.",25,true
