destinationName,destinationDescription,averageVisitCost,popular
"Venice, India","Tropical destination featuring remarkable museums and wildlife watching. Experience natural wonders and immerse yourself in local culture and traditions. Renowned for its monasteries and wildlife watching.",2975,true
"Vietnam Forest","Desert destination featuring remarkable markets and diving sites. Experience pristine nature and immerse yourself in local culture and traditions. Distinguished by its art galleries and hiking trails.",2281,false
"Porto, Croatia","Desert destination featuring remarkable monasteries and scenic drives. Experience rich history and immerse yourself in local culture and traditions. Famous for its sacred sites and wildlife watching.",1649,true
"Egypt Coast","Countryside destination featuring remarkable castles and artisan workshops. Experience vibrant culture and immerse yourself in local culture and traditions. Renowned for its traditional villages and food tours.",3882,false
"Reykjavik, Croatia","Urban destination featuring remarkable ancient ruins and hiking trails. Experience artistic legacy and immerse yourself in local culture and traditions. Distinguished by its ancient ruins and local festivals.",2703,true
"Spain Coast","Mountainous destination featuring remarkable palaces and cultural workshops. Experience local traditions and immerse yourself in local culture and traditions. Celebrated for its markets and artisan workshops.",4445,true
"Kyoto, New Zealand","Island destination featuring remarkable historical districts and artisan workshops. Experience rich history and immerse yourself in local culture and traditions. Known for its ancient ruins and hiking trails.",3557,true
"Dubrovnik, Japan","Island destination featuring remarkable temples and local festivals. Experience ancient heritage and immerse yourself in local culture and traditions. Celebrated for its art galleries and hiking trails.",3110,false
"Cusco, Turkey","Coastal destination featuring remarkable museums and artisan workshops. Experience traditional crafts and immerse yourself in local culture and traditions. Known for its archaeological sites and cultural workshops.",2628,true
"Spain Forest","Forest destination featuring remarkable historical districts and wine tasting. Experience artistic legacy and immerse yourself in local culture and traditions. Distinguished by its historical districts and photography spots.",4339,false
"Cappadocia, New Zealand","Tropical destination featuring remarkable museums and local festivals. Experience ancient heritage and immerse yourself in local culture and traditions. Famous for its traditional villages and thermal springs.",2566,true
"Dubrovnik, Vietnam","Riverside destination featuring remarkable art galleries and food tours. Experience authentic cuisine and immerse yourself in local culture and traditions. Renowned for its art galleries and cultural workshops.",1777,false
"Cairo, Egypt","Alpine destination featuring remarkable historical districts and diving sites. Experience authentic cuisine and immerse yourself in local culture and traditions. Famous for its traditional villages and photography spots.",2845,false
"Brazil Lakes","Alpine destination featuring remarkable traditional villages and diving sites. Experience ancient heritage and immerse yourself in local culture and traditions. Famous for its ancient ruins and wildlife watching.",2205,false
"Cusco, Japan","Reef destination featuring remarkable museums and scenic drives. Experience authentic cuisine and immerse yourself in local culture and traditions. Famous for its traditional villages and hiking trails.",1761,true
"Barcelona, Turkey","Riverside destination featuring remarkable monasteries and scenic drives. Experience traditional crafts and immerse yourself in local culture and traditions. Distinguished by its historical districts and cultural workshops.",2584,true
"Bergen, Norway","Coastal destination featuring remarkable historical districts and food tours. Experience unique experiences and immerse yourself in local culture and traditions. Renowned for its historical districts and food tours.",3257,true
"Kyoto, Thailand","Riverside destination featuring remarkable castles and diving sites. Experience vibrant culture and immerse yourself in local culture and traditions. Known for its ancient ruins and wildlife watching.",3531,true
"Vietnam Coast","Alpine destination featuring remarkable historical districts and hiking trails. Experience natural wonders and immerse yourself in local culture and traditions. Known for its historical districts and thermal springs.",3778,false
"Hoi An, Morocco","Countryside destination featuring remarkable museums and wildlife watching. Experience rich history and immerse yourself in local culture and traditions. Distinguished by its temples and scenic drives.",4456,true
"Sydney, Japan","Island destination featuring remarkable traditional villages and hiking trails. Experience artistic legacy and immerse yourself in local culture and traditions. Celebrated for its archaeological sites and thermal springs.",2799,true
"Indonesia Fjords","Island destination featuring remarkable historical districts and thermal springs. Experience natural wonders and immerse yourself in local culture and traditions. Renowned for its palaces and hiking trails.",2176,false
"Iceland Cliffs","Coastal destination featuring remarkable historical districts and water sports. Experience vibrant culture and immerse yourself in local culture and traditions. Known for its ancient ruins and scenic drives.",1869,false
"Brazil Alps","Alpine destination featuring remarkable traditional villages and local festivals. Experience breathtaking views and immerse yourself in local culture and traditions. Distinguished by its museums and thermal springs.",3270,true
"Cusco, Greece","Mountainous destination featuring remarkable sacred sites and wine tasting. Experience breathtaking views and immerse yourself in local culture and traditions. Renowned for its art galleries and wine tasting.",2942,true
"Norway Alps","Forest destination featuring remarkable archaeological sites and scenic drives. Experience rich history and immerse yourself in local culture and traditions. Renowned for its historical districts and water sports.",1779,true
